MIN=0	0	0	-0,1	0
MAX=40	30	10	13	80
SCALE=40	10	5	5	10
DEC=1	2	2	2	2
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V	"Corriente del colector" I_A / nA	"Tensión de aceleración" U_B / V
0	-0,045	0,005	-0,045	0,05
0,101	-0,045	0,005	-0,045	0,05
0,2	-0,045	0,005	-0,045	0,05
0,3	-0,045	0	-0,045	0
0,399	-0,045	0,005	-0,045	0,05
0,5	-0,045	0,01	-0,045	0,1
0,6	-0,045	0,035	-0,045	0,35
0,7	-0,045	0,065	-0,045	0,65
0,799	-0,045	0,095	-0,045	0,95
0,9	-0,045	0,12	-0,045	1,2
0,999	-0,045	0,15	-0,045	1,5
1,1	-0,045	0,175	-0,045	1,75
1,2	-0,045	0,205	-0,045	2,05
1,299	-0,03	0,23	-0,03	2,3
1,399	-0,03	0,255	-0,03	2,55
1,499	-0,03	0,285	-0,03	2,85
1,6	-0,03	0,31	-0,03	3,1
1,699	-0,03	0,34	-0,03	3,4
1,8	-0,03	0,365	-0,03	3,65
1,9	-0,03	0,395	-0,03	3,95
2	-0,03	0,42	-0,03	4,2
2,1	-0,03	0,45	-0,03	4,5
2,2	-0,03	0,475	-0,03	4,75
2,3	-0,03	0,5	-0,03	5
2,399	-0,03	0,53	-0,03	5,3
2,5	-0,03	0,56	-0,03	5,6
2,6	-0,03	0,585	-0,03	5,85
2,699	-0,03	0,61	-0,03	6,1
2,799	-0,03	0,635	-0,03	6,35
2,899	-0,03	0,665	-0,03	6,65
3	-0,03	0,69	-0,03	6,9
3,099	-0,03	0,72	-0,03	7,2
3,199	-0,03	0,75	-0,03	7,5
3,3	-0,03	0,77	-0,03	7,7
3,399	-0,03	0,8	-0,03	8
3,499	-0,03	0,825	-0,03	8,25
3,599	-0,03	0,855	-0,03	8,55
3,7	-0,015	0,88	-0,015	8,8
3,799	-0,015	0,91	-0,015	9,1
3,899	0,045	0,935	0,045	9,35
3,999	0,39	0,965	0,39	9,65
4,099	0,765	0,99	0,765	9,9
4,2	1,05	1,015	1,05	10,15
4,3	1,275	1,045	1,275	10,45
4,4	1,47	1,07	1,47	10,7
4,5	1,635	1,1	1,635	11
4,599	1,725	1,125	1,725	11,25
4,7	1,875	1,15	1,875	11,5
4,8	2,025	1,175	2,025	11,75
4,899	2,16	1,205	2,16	12,05
4,999	2,295	1,23	2,295	12,3
5,101	2,43	1,26	2,43	12,6
5,2	2,55	1,29	2,55	12,9
5,299	2,685	1,315	2,685	13,15
5,4	2,79	1,34	2,79	13,4
5,5	2,91	1,37	2,91	13,7
5,6	3,015	1,395	3,015	13,95
5,699	3,12	1,42	3,12	14,2
5,8	3,225	1,45	3,225	14,5
5,899	3,27	1,475	3,27	14,75
5,999	3,375	1,5	3,375	15
